language,repo,commit,directory,file,function,project_type,status
zok,https://github.com/xana-org/contracts,1c0d15b,price_range_proof,PriceRange.zok,main,Dummy,
zok,https://github.com/tomoima525/zkp-vote,a2cf6d2,contracts/circuits,voteEvenOrOdd.zok,main,Dummy,
zok,https://github.com/yehjxraymond/zokrates-experiment,b3224b3,./,complete.zok,main,Dummy,
zok,https://github.com/GarryFCR/Mastemind,4a47422,circuit,master.zok,main,Dummy,
zok,https://github.com/andrejrakic/verify-adultness,320a402,./,main.zok,main,Dummy,
zokc,https://github.com/lugondev/zkp-zokrates-wtf,e9ad373,./,*.zok,main,OK,
zok,https://github.com/GuthL/zkp_baby_jubjub_protocols,3ffb94f,./,proofOfOwnership.code,main,Bad,
zok,https://github.com/hossam-magdy/erc721-nft-zokrates-zksnarks,2120fe8,zokrates/code/square,square.zok,main,Dummy,
zok,https://github.com/Blockchain-E-Voting/EthzkSNARK-Voting,a63a308,src/voter/ui/passPhrase,sha256hashgenerate.code,main,Dummy,
zok,https://github.com/steel-feel/zokrates,fb153b4,zok-src,simple.zok,main,Dummy,
zok,https://github.com/mchinaloy/real-estate-marketplace,afc9081,zokrates/code/square,square.code,main,Dummy,
zok,https://github.com/AwesomeHuang/Zokrates_Demo,60800c1,./,*.code,main,Bad,
zok,https://decentral.medium.com/a-working-example-of-zero-knowledge-proofs-code-included-1418c0c64a3b,,blogs/SimpleExample,program.zok,main,Dummy,
zokc,https://github.com/robert-zaremba/zkp-zokrates-tutorial,d81a3e8,./,*.zok,main,Dummy,
zokc,https://scryptplatform.medium.com/create-your-first-zero-knowledge-proof-program-on-bitcoin-ec159cc501f4,,blogs/SimpleExample2,program.zok,main,Dummy,
zokc,https://github.com/kiseln/hangman-zokrates,c1208b2,hangman-contracts,hangman.zok,main,Good,
zok,https://github.com/derekzx/z-serve,6ab266a,./,program.zok,main,Dummy,
zokc,https://github.com/VinGeo1/Lab6,acc65c7,./,main.zok,main,Dummy,
zok,https://github.com/andrejrakic/zokrates-demo,ffa1a89,./,main.zok,main,Dummy,
zokc,https://github.com/Yhtiyar/zokrates-exploring,3b2daee,./,*.zok,main,OK,
